step,time,psi_res,omega_res,max_residual
0,1.0000000000000000e-04,1.9515639104739080e-14,8.5096172781605041e+04,8.5096172781605041e+04
5000,5.0009999999999999e-01,8.5069729038877995e-12,4.1646099707415993e+02,4.1646099707415993e+02
10000,1.0001000000000000e+00,1.2839507235185010e-11,2.0881119061322147e+02,2.0881119061322147e+02
15000,1.5001000000000000e+00,1.9344525981068728e-11,1.3541854163973400e+02,1.3541854163973400e+02
20000,2.0001000000000002e+00,2.6242119588459900e-11,9.5654454066750617e+01,9.5654454066750617e+01
25000,2.5001000000000002e+00,2.8540725338643824e-11,7.1345471601075204e+01,7.1345471601075204e+01
30000,3.0001000000000002e+00,3.4905411894214922e-11,5.5260231469663857e+01,5.5260231469663857e+01
35000,3.5001000000000002e+00,3.8615333153302345e-11,4.3852917783941699e+01,4.3852917783941699e+01
40000,4.0000999999999998e+00,5.3164583846410096e-11,3.5459992368531388e+01,3.5459992368531388e+01
45000,4.5001000000000007e+00,4.9128701107292727e-11,2.9333357899084074e+01,2.9333357899084074e+01
50000,5.0001000000000007e+00,5.5409898891412013e-11,2.4940266507245180e+01,2.4940266507245180e+01
55000,5.5001000000000007e+00,4.5254466840560781e-11,2.1806518183561543e+01,2.1806518183561543e+01
60000,6.0001000000000007e+00,5.4969362395240751e-11,1.9400010085035245e+01,1.9400010085035245e+01
65000,6.5001000000000007e+00,5.4342308430932462e-11,1.7329172412562471e+01,1.7329172412562471e+01
70000,7.0001000000000007e+00,6.3441696340760245e-11,1.5427399664850212e+01,1.5427399664850212e+01
75000,7.5001000000000007e+00,6.7826633198819763e-11,1.3647062770981199e+01,1.3647062770981199e+01
80000,8.0000999999999998e+00,7.0088379544586132e-11,1.1993322315086372e+01,1.1993322315086372e+01
85000,8.5000999999999998e+00,6.8141936537813308e-11,1.0535745244229512e+01,1.0535745244229512e+01
90000,9.0000999999999998e+00,7.3354655683033343e-11,9.4394553025360182e+00,9.4394553025360182e+00
95000,9.5000999999999998e+00,6.9615424536095816e-11,8.6117378034256316e+00,8.6117378034256316e+00
100000,1.0000100000000000e+01,7.6878947652403440e-11,7.9591341585891762e+00,7.9591341585891762e+00
105000,1.0500100000000000e+01,7.8041795248395829e-11,7.4471346376049778e+00,7.4471346376049778e+00
110000,1.1000100000000000e+01,7.9872997105212562e-11,7.0348113205587746e+00,7.0348113205587746e+00
115000,1.1500100000000000e+01,7.8662409919161291e-11,6.6574706038548559e+00,6.6574706038548559e+00
120000,1.2000100000000000e+01,7.2230665892902834e-11,6.2699788321767338e+00,6.2699788321767338e+00
125000,1.2500100000000000e+01,7.9793949225859251e-11,5.8608121277315819e+00,5.8608121277315819e+00
130000,1.3000100000000000e+01,8.7139184756779287e-11,5.4402126499281334e+00,5.4402126499281334e+00
135000,1.3500100000000000e+01,8.0520479173173953e-11,5.0258082048569115e+00,5.0258082048569115e+00
140000,1.4000100000000002e+01,9.2049923239301279e-11,4.6300046270269926e+00,4.6300046270269926e+00
145000,1.4500100000000002e+01,8.0529360957370955e-11,4.2580590927269411e+00,4.2580590927269411e+00
150000,1.5000100000000002e+01,8.2145845681225182e-11,3.9049310294794202e+00,3.9049310294794202e+00
155000,1.5500100000000002e+01,1.0006839801235401e-10,3.5722261717173840e+00,3.5722261717173840e+00
160000,1.6000100000000000e+01,1.0874279254835528e-10,3.2625607966916421e+00,3.2625607966916421e+00
165000,1.6500100000000000e+01,9.9742436532324064e-11,2.9785138568474774e+00,2.9785138568474774e+00
170000,1.7000100000000000e+01,9.3376417709123416e-11,2.7220704937420588e+00,2.7220704937420588e+00
175000,1.7500100000000000e+01,9.8281827121127208e-11,2.4938469131994960e+00,2.4938469131994960e+00
180000,1.8000100000000000e+01,9.8673513804214963e-11,2.2902206344823339e+00,2.2902206344823339e+00
185000,1.8500100000000000e+01,1.0170619901828104e-10,2.1075747288296651e+00,2.1075747288296651e+00
190000,1.9000100000000000e+01,1.1150369516599312e-10,1.9425717408795795e+00,1.9425717408795795e+00
195000,1.9500100000000000e+01,1.0445910803014158e-10,1.7966947957685786e+00,1.7966947957685786e+00
200000,2.0000100000000000e+01,1.1891998497048917e-10,1.6692099116969299e+00,1.6692099116969299e+00
205000,2.0500100000000000e+01,1.2156897710724479e-10,1.5553031604225589e+00,1.5553031604225589e+00
210000,2.1000100000000000e+01,1.3266321374771906e-10,1.6231638552608780e+00,1.6231638552608780e+00
215000,2.1500100000000000e+01,1.2563239337737286e-10,1.5943898039060069e+00,1.5943898039060069e+00
220000,2.2000100000000000e+01,1.2685186234762114e-10,1.5428707409142748e+00,1.5428707409142748e+00
225000,2.2500100000000000e+01,1.2303802421342880e-10,1.5329491242123900e+00,1.5329491242123900e+00
230000,2.3000100000000000e+01,1.2304957053288490e-10,1.8740600155835168e+00,1.8740600155835168e+00
235000,2.3500100000000000e+01,1.3616130445370800e-10,2.1111136656360783e+00,2.1111136656360783e+00
