x,y,u,v,omega
0.00476190,0.00476190,0.00000370,-0.00000370,-0.00101823
0.00476190,0.01428571,0.00000856,-0.00001596,-0.00198304
0.00476190,0.02380952,0.00000933,-0.00003385,-0.00279709
0.00476190,0.03333333,0.00000724,-0.00005041,-0.00315591
0.00476190,0.04285714,0.00000344,-0.00006108,-0.00257835
0.00476190,0.05238095,-0.00000132,-0.00006320,-0.00067308
0.00476190,0.06190476,-0.00000660,-0.00005528,0.00283972
0.00476190,0.07142857,-0.00001213,-0.00003654,0.00814548
0.00476190,0.08095238,-0.00001777,-0.00000664,0.01535920
0.00476190,0.09047619,-0.00002341,0.00003453,0.02454596
0.00476190,0.10000000,-0.00002900,0.00008693,0.03573627
0.00476190,0.10952381,-0.00003451,0.00015043,0.04893697
0.00476190,0.11904762,-0.00003992,0.00022486,0.06413870
0.00476190,0.12857143,-0.00004521,0.00030998,0.08132116
0.00476190,0.13809524,-0.00005039,0.00040559,0.10045648
0.00476190,0.14761905,-0.00005546,0.00051144,0.12151170
0.00476190,0.15714286,-0.00006040,0.00062730,0.14445020
0.00476190,0.16666667,-0.00006522,0.00075291,0.16923282
0.00476190,0.17619048,-0.00006992,0.00088805,0.19581838
0.00476190,0.18571429,-0.00007449,0.00103246,0.22416417
0.00476190,0.19523810,-0.00007895,0.00118590,0.25422597
0.00476190,0.20476190,-0.00008328,0.00134812,0.28595823
0.00476190,0.21428571,-0.00008748,0.00151887,0.31931394
0.00476190,0.22380952,-0.00009155,0.00169790,0.35424465
0.00476190,0.23333333,-0.00009548,0.00188493,0.39070016
0.00476190,0.24285714,-0.00009928,0.00207969,0.42862862
0.00476190,0.25238095,-0.00010294,0.00228191,0.46797621
0.00476190,0.26190476,-0.00010644,0.00249129,0.50868708
0.00476190,0.27142857,-0.00010979,0.00270752,0.55070317
0.00476190,0.28095238,-0.00011298,0.00293029,0.59396410
0.00476190,0.29047619,-0.00011600,0.00315927,0.63840729
0.00476190,0.30000000,-0.00011885,0.00339412,0.68396759
0.00476190,0.30952381,-0.00012151,0.00363448,0.73057747
0.00476190,0.31904762,-0.00012398,0.00387997,0.77816683
0.00476190,0.32857143,-0.00012626,0.00413022,0.82666332
0.00476190,0.33809524,-0.00012834,0.00438483,0.87599212
0.00476190,0.34761905,-0.00013021,0.00464338,0.92607635
0.00476190,0.35714286,-0.00013186,0.00490545,0.97683692
0.00476190,0.36666667,-0.00013330,0.00517062,1.02819300
0.00476190,0.37619048,-0.00013451,0.00543843,1.08006203
0.00476190,0.38571429,-0.00013550,0.00570844,1.13236022
0.00476190,0.39523810,-0.00013625,0.00598018,1.18500292
0.00476190,0.40476190,-0.00013677,0.00625320,1.23790455
0.00476190,0.41428571,-0.00013706,0.00652704,1.29097962
0.00476190,0.42380952,-0.00013713,0.00680123,1.34414291
0.00476190,0.43333333,-0.00013696,0.00707532,1.39731002
0.00476190,0.44285714,-0.00013657,0.00734885,1.45039809
0.00476190,0.45238095,-0.00013597,0.00762139,1.50332618
0.00476190,0.46190476,-0.00013515,0.00789250,1.55601621
0.00476190,0.47142857,-0.00013414,0.00816179,1.60839355
0.00476190,0.48095238,-0.00013294,0.00842887,1.66038811
0.00476190,0.49047619,-0.00013157,0.00869339,1.71193457
0.00476190,0.50000000,-0.00013005,0.00895501,1.76297402
0.00476190,0.50952381,-0.00012840,0.00921347,1.81345463
0.00476190,0.51904762,-0.00012664,0.00946851,1.86333275
0.00476190,0.52857143,-0.00012480,0.00971994,1.91257381
0.00476190,0.53809524,-0.00012290,0.00996764,1.96115398
0.00476190,0.54761905,-0.00012099,0.01021152,2.00906134
0.00476190,0.55714286,-0.00011909,0.01045160,2.05629730
0.00476190,0.56666667,-0.00011726,0.01068796,2.10287809
0.00476190,0.57619048,-0.00011554,0.01092076,2.14883661
0.00476190,0.58571429,-0.00011398,0.01115029,2.19422483
0.00476190,0.59523810,-0.00011264,0.01137691,2.23911452
0.00476190,0.60476190,-0.00011159,0.01160115,2.28360152
0.00476190,0.61428571,-0.00011090,0.01182365,2.32780719
0.00476190,0.62380952,-0.00011066,0.01204521,2.37188196
0.00476190,0.63333333,-0.00011095,0.01226682,2.41600800
0.00476190,0.64285714,-0.00011188,0.01248965,2.46040487
0.00476190,0.65238095,-0.00011358,0.01271511,2.50533295
0.00476190,0.66190476,-0.00011617,0.01294487,2.55109835
0.00476190,0.67142857,-0.00011982,0.01318086,2.59806037
0.00476190,0.68095238,-0.00012471,0.01342539,2.64663815
0.00476190,0.69047619,-0.00013103,0.01368113,2.69731879
0.00476190,0.70000000,-0.00013903,0.01395119,2.75066781
0.00476190,0.70952381,-0.00014900,0.01423922,2.80734062
0.00476190,0.71904762,-0.00016125,0.01454946,2.86809540
0.00476190,0.72857143,-0.00017617,0.01488687,2.93381047
0.00476190,0.73809524,-0.00019421,0.01525725,3.00550342
0.00476190,0.74761905,-0.00021592,0.01566738,3.08435202
0.00476190,0.75714286,-0.00024193,0.01612522,3.17172313
0.00476190,0.76666667,-0.00027301,0.01664016,3.26920414
0.00476190,0.77619048,-0.00031009,0.01722326,3.37864113
0.00476190,0.78571429,-0.00035428,0.01788762,3.50218606
0.00476190,0.79523810,-0.00040695,0.01864884,3.64235210
0.00476190,0.80476190,-0.00046979,0.01952558,3.80208325
0.00476190,0.81428571,-0.00054488,0.02054024,3.98483706
0.00476190,0.82380952,-0.00063486,0.02171998,4.19469070
0.00476190,0.83333333,-0.00074307,0.02309792,4.43646812
0.00476190,0.84285714,-0.00087383,0.02471482,4.71590424
0.00476190,0.85238095,-0.00103283,0.02662148,5.03984833
0.00476190,0.86190476,-0.00122769,0.02888200,5.41652155
0.00476190,0.87142857,-0.00146887,0.03157856,5.85583210
0.00476190,0.88095238,-0.00177110,0.03481853,6.36975574
0.00476190,0.89047619,-0.00215575,0.03874538,6.97273970
0.00476190,0.90000000,-0.00265481,0.04355595,7.68201065
0.00476190,0.90952381,-0.00331792,0.04952868,8.51738834
0.00476190,0.91904762,-0.00422492,0.05707151,9.49948883
0.00476190,0.92857143,-0.00550857,0.06680501,10.64318943
0.00476190,0.93809524,-0.00739396,0.07970753,11.93767166
0.00476190,0.94761905,-0.01025597,0.09735747,13.28897095
0.00476190,0.95714286,-0.01464217,0.12225562,14.35850811
0.00476190,0.96666667,-0.02090150,0.15779927,14.11758041
0.00476190,0.97619048,-0.02652342,0.20522419,9.66520882
0.00476190,0.98571429,-0.01193775,0.24368536,-6.48794317
0.00476190,0.99523810,0.12781155,0.12781155,-16.75130653
0.01428571,0.00476190,0.00001594,-0.00000854,-0.00198538
0.01428571,0.01428571,0.00003207,-0.00003203,-0.00175884
0.01428571,0.02380952,0.00003281,-0.00006115,-0.00070280
